inventory_id,snapshot_date,store_id,product_id,on_hand_qty,on_order_qty,reorder_point,unit_cost
1,2025-09-13,5356,12953,57,16,15,199.0
2,2025-09-13,6468,3523,22,0,15,199.0
3,2025-09-13,2868,7037,48,11,15,199.0
4,2025-09-13,20899,1348,72,9,15,199.0
5,2025-09-13,12425,13606,43,17,15,199.0
6,2025-09-13,19520,6661,60,9,15,199.0
7,2025-09-13,2021,15541,55,9,15,199.0
8,2025-09-13,3587,10272,70,7,15,271.59
9,2025-09-13,5065,14689,19,1,15,199.0
10,2025-09-13,15975,5185,68,11,15,199.0
11,2025-09-13,16394,5005,39,13,15,199.0
12,2025-09-13,12286,18713,57,6,15,199.0
13,2025-09-13,2685,17750,94,14,15,199.0
14,2025-09-13,654,8343,30,1,15,199.0
15,2025-09-13,13237,10125,61,9,15,199.0
16,2025-09-13,19285,7588,81,14,15,199.0
17,2025-09-13,12482,18638,40,4,15,199.0
18,2025-09-13,10342,20055,56,11,15,199.0
19,2025-09-13,12652,3959,26,10,15,199.0
20,2025-09-13,19325,13237,32,13,15,199.0
21,2025-09-13,10217,16187,74,15,15,199.0
22,2025-09-13,14259,2586,50,5,15,199.0
23,2025-09-13,537,173,72,11,15,199.0
24,2025-09-13,11606,15568,23,0,15,199.0
25,2025-09-13,563,16400,23,11,15,199.0
26,2025-09-13,20060,13428,48,19,15,199.0
27,2025-09-13,15947,8988,56,8,15,199.0
28,2025-09-13,9885,5169,43,11,15,199.0
29,2025-09-13,13722,13218,65,13,15,199.0
30,2025-09-13,6212,18896,56,6,15,199.0
31,2025-09-13,11157,563,52,12,15,199.0
32,2025-09-13,11447,1520,52,11,15,199.0
33,2025-09-13,12763,7944,42,13,15,199.0
34,2025-09-13,10366,18873,50,5,15,199.0
35,2025-09-13,653,16298,60,1,15,199.0
36,2025-09-13,4811,19890,39,0,15,199.0
37,2025-09-13,17396,5370,97,12,15,199.0
38,2025-09-13,12322,14968,38,3,15,199.0
39,2025-09-13,50,18190,78,12,15,199.0
40,2025-09-13,8282,17983,101,13,15,199.0
41,2025-09-13,18353,16022,53,17,15,199.0
42,2025-09-13,2850,14959,50,17,15,199.0
43,2025-09-13,2144,4271,68,10,15,199.0
44,2025-09-13,18917,20931,60,4,15,199.0
45,2025-09-13,6185,12232,43,13,15,199.0
46,2025-09-13,14283,20238,82,18,15,199.0
47,2025-09-13,10067,4527,54,6,15,199.0
48,2025-09-13,18929,1043,42,10,15,199.0
49,2025-09-13,19153,11925,62,10,15,199.0
50,2025-09-13,20182,1552,59,3,15,199.0
51,2025-09-13,12164,12410,55,10,15,199.0
52,2025-09-13,49,19281,56,11,15,199.0
53,2025-09-13,6362,12340,70,15,15,199.0
54,2025-09-13,6545,2705,78,17,15,199.0
55,2025-09-13,12119,13809,26,12,15,203.38
56,2025-09-13,9030,5039,52,2,15,199.0
57,2025-09-13,7734,18673,46,11,15,199.0
58,2025-09-13,18046,6208,44,14,15,199.0
59,2025-09-13,6139,15975,78,15,15,199.0
60,2025-09-13,11484,4829,67,16,15,410.75
61,2025-09-13,19372,3168,69,5,15,199.0
62,2025-09-13,10285,18631,35,4,15,199.0
63,2025-09-13,20926,8927,59,11,15,199.0
64,2025-09-13,10737,16745,62,8,15,199.0
65,2025-09-13,15453,15854,27,6,15,199.0
66,2025-09-13,2280,16752,43,9,15,199.0
67,2025-09-13,9750,8106,48,19,15,199.0
68,2025-09-13,2478,16593,30,6,15,199.0
69,2025-09-13,95,9531,53,5,15,285.19
70,2025-09-13,11004,2861,10,11,15,199.0
71,2025-09-13,18041,2999,61,8,15,199.0
72,2025-09-13,8771,10608,53,17,15,199.0
73,2025-09-13,15110,4980,39,10,15,199.0
74,2025-09-13,7595,6223,56,10,15,199.0
75,2025-09-13,13545,4611,37,13,15,199.0
76,2025-09-13,9484,7127,63,7,15,199.0
77,2025-09-13,11495,12313,79,10,15,199.0
78,2025-09-13,1985,1425,52,0,15,199.0
79,2025-09-13,18576,12772,40,10,15,199.0
80,2025-09-13,8772,6037,18,6,15,199.0
81,2025-09-13,17444,3034,29,8,15,233.48
82,2025-09-13,14195,4484,55,10,15,199.0
83,2025-09-13,524,7393,34,8,15,223.16
84,2025-09-13,7607,2572,32,16,15,199.0
85,2025-09-13,7085,17925,104,8,15,199.0
86,2025-09-13,9582,9816,52,12,15,220.56
87,2025-09-13,14,3542,53,15,15,199.0
88,2025-09-13,13792,13044,34,8,15,199.0
89,2025-09-13,16320,10524,26,7,15,199.0
90,2025-09-13,15448,9330,85,4,15,199.0
91,2025-09-13,16054,8148,46,15,15,199.0
92,2025-09-13,6387,4389,57,2,15,199.0
93,2025-09-13,11339,10201,54,4,15,199.0
94,2025-09-13,15994,5169,56,10,15,199.0
95,2025-09-13,20442,4022,55,4,15,199.0
96,2025-09-13,19957,2449,35,8,15,199.0
97,2025-09-13,16416,3279,37,9,15,199.0
98,2025-09-13,286,13255,58,16,15,199.0
99,2025-09-13,10481,20854,58,6,15,199.0
100,2025-09-13,7542,9082,58,16,15,199.0
101,2025-09-13,8498,1552,45,8,15,199.0
102,2025-09-13,11298,8036,35,6,15,199.0
103,2025-09-13,10114,15269,0,10,15,199.0
104,2025-09-13,5892,18493,99,4,15,199.0
105,2025-09-13,16260,17175,94,12,15,233.31
106,2025-09-13,5026,3984,57,14,15,199.0
107,2025-09-13,8106,11013,72,0,15,199.0
108,2025-09-13,17947,19183,50,7,15,199.0
109,2025-09-13,4264,11878,33,0,15,199.0
110,2025-09-13,1718,17915,61,10,15,199.0
111,2025-09-13,17667,3264,59,12,15,199.0
112,2025-09-13,13825,14246,19,4,15,199.0
113,2025-09-13,5385,17430,62,11,15,199.0
114,2025-09-13,19851,9866,41,10,15,199.0
115,2025-09-13,16079,13650,81,10,15,199.0
116,2025-09-13,8323,788,56,11,15,246.79
117,2025-09-13,19955,7889,61,9,15,258.72
118,2025-09-13,4857,14464,42,13,15,199.0
119,2025-09-13,15888,3073,73,0,15,199.0
120,2025-09-13,18914,14739,61,1,15,199.0
121,2025-09-13,5702,20829,37,11,15,199.0
122,2025-09-13,10488,19678,84,11,15,199.0
123,2025-09-13,8263,10114,58,13,15,199.0
124,2025-09-13,6826,17912,65,12,15,199.0
125,2025-09-13,7896,9749,55,17,15,199.0
126,2025-09-13,6841,14705,37,2,15,267.45
127,2025-09-13,18959,11115,53,6,15,199.0
128,2025-09-13,19527,14098,50,11,15,199.0
129,2025-09-13,11964,16808,35,10,15,205.63
130,2025-09-13,17885,5576,31,21,15,199.0
131,2025-09-13,1236,10965,70,6,15,199.0
132,2025-09-13,7722,17466,64,0,15,199.0
133,2025-09-13,20590,2122,48,8,15,199.0
134,2025-09-13,6767,1348,48,7,15,199.0
135,2025-09-13,14814,3775,31,10,15,199.0
136,2025-09-13,6695,6307,37,1,15,199.0
137,2025-09-13,7034,7212,81,11,15,199.0
138,2025-09-13,11113,8000,66,9,15,258.32
139,2025-09-13,5120,16752,62,18,15,199.0
140,2025-09-13,20369,11761,48,16,15,199.0
141,2025-09-13,7698,17100,57,6,15,199.0
142,2025-09-13,10767,20615,62,19,15,199.0
143,2025-09-13,5511,18908,50,12,15,199.0
144,2025-09-13,10854,11268,56,8,15,199.0
145,2025-09-13,20175,602,49,8,15,347.25
146,2025-09-13,16347,4628,37,9,15,199.0
147,2025-09-13,3573,12762,58,2,15,199.0
148,2025-09-13,6877,16904,50,17,15,199.0
149,2025-09-13,5102,17990,70,8,15,199.0
150,2025-09-13,4798,5783,79,5,15,199.0
151,2025-09-13,11982,18463,67,10,15,226.4
152,2025-09-13,16196,14033,67,7,15,199.0
153,2025-09-13,17463,2243,33,4,15,199.0
154,2025-09-13,20802,15155,66,10,15,199.0
155,2025-09-13,7048,7808,50,14,15,199.0
156,2025-09-13,16215,334,70,11,15,199.0
157,2025-09-13,3793,12024,48,15,15,199.0
158,2025-09-13,14018,4183,44,15,15,199.0
159,2025-09-13,9448,11484,70,11,15,199.0
160,2025-09-13,2080,6195,84,10,15,199.0
