product_id,product_sku,product_name,brand,category,subcategory,color,size,unit_price,start_date,end_date,is_active
3375,CR-IN-AUD-03375,Croma Headphones 765CP,Croma,Audio,Headphones,Green,L,21586.2,2023-12-31,,1
10879,CR-IN-CAM-10879,Croma DSLR Q7G89,Croma,Cameras,DSLR,Green,L,21804.29,2023-07-06,,1
6512,CR-IN-WEA-06512,Croma Smartwatch RF918,Croma,Wearables,Smartwatch,Gold,OneSize,13532.28,2023-01-13,,1
10637,CR-IN-CAM-10637,Croma DSLR 3RSF6,Croma,Cameras,DSLR,Red,L,84007.78,2022-09-11,,1
3489,CR-IN-LAP-03489,Croma Ultrabooks BIIFS,Croma,Laptops,Ultrabooks,Silver,L,58999.4,2025-06-02,,1
3879,CR-IN-TEL-03879,Croma LED YKQKM,Croma,Televisions,LED,Black,L,121653.79,2022-09-28,,1
158,CR-IN-AUD-00158,Croma Headphones GEZE2,Croma,Audio,Headphones,Blue,OneSize,41093.25,2024-06-04,,1
10232,CR-IN-GAM-10232,Croma Consoles DJCMV,Croma,Gaming,Consoles,Black,XL,29768.92,2022-08-27,2025-04-03,0
4739,CR-IN-CAM-04739,Croma DSLR J98WB,Croma,Cameras,DSLR,White,XS,23153.0,2024-04-14,,1
6147,CR-IN-AUD-06147,Croma Headphones 1MRQM,Croma,Audio,Headphones,White,OneSize,28740.71,2025-05-07,,1
11036,CR-IN-AUD-11036,Croma Headphones 8JWV7,Croma,Audio,Headphones,Green,XL,11070.16,2023-08-16,,1
6671,CR-IN-WEA-06671,Croma Smartwatch OCE5W,Croma,Wearables,Smartwatch,Space Grey,XL,51923.45,2022-06-02,,1
8424,CR-IN-TEL-08424,Croma LED A39NE,Croma,Televisions,LED,White,M,18071.2,2025-06-25,,1
7995,CR-IN-SMA-07995,Croma Smart Lights GHRWP,Croma,Smart Home,Smart Lights,Black,L,7543.77,2023-05-29,,1
3884,CR-IN-TEL-03884,Croma LED 3Q09N,Croma,Televisions,LED,Blue,XL,50676.7,2025-03-11,,1
7603,CR-IN-GAM-07603,Croma Consoles VJZZW,Croma,Gaming,Consoles,Green,S,66979.44,2022-03-08,,1
10158,CR-IN-LAP-10158,Croma Ultrabooks 63YHU,Croma,Laptops,Ultrabooks,Purple,S,136234.01,2022-11-21,,1
6951,CR-IN-TEL-06951,Croma LED 1WP31,Croma,Televisions,LED,Blue,M,158673.38,2022-12-06,,1
11912,CR-IN-SMA-11912,Croma Smart Lights SXWI1,Croma,Smart Home,Smart Lights,Purple,XS,22857.14,2024-01-20,,1
9114,CR-IN-ACC-09114,Croma Cables AN81U,Croma,Accessories,Cables,Space Grey,XL,1768.25,2023-01-19,2025-01-08,0
1052,CR-IN-WEA-01052,Croma Smartwatch SNCZ0,Croma,Wearables,Smartwatch,Black,L,25530.14,2022-02-26,,1
10997,CR-IN-TEL-10997,Croma LED YO459,Croma,Televisions,LED,Silver,XL,73834.56,2023-03-01,,1
10001,CR-IN-CAM-10001,Croma DSLR 69UCI,Croma,Cameras,DSLR,Space Grey,XL,25180.71,2022-03-27,,1
6379,CR-IN-APP-06379,Croma Washers LVUGE,Croma,Appliances,Washers,Silver,XL,54910.37,2022-01-01,2024-02-27,0
3840,CR-IN-LAP-03840,Croma Ultrabooks C7IOT,Croma,Laptops,Ultrabooks,White,XL,26901.79,2025-05-24,,1
2255,CR-IN-CAM-02255,Croma DSLR CADPW,Croma,Cameras,DSLR,Purple,XL,95492.35,2023-01-15,,1
2410,CR-IN-ACC-02410,Croma Cables RJ8CP,Croma,Accessories,Cables,Space Grey,XL,9033.92,2024-09-24,,1
8642,CR-IN-ACC-08642,Croma Cables 3NC2N,Croma,Accessories,Cables,Silver,OneSize,2083.0,2022-01-03,,1
10720,CR-IN-TEL-10720,Croma LED RHQM6,Croma,Televisions,LED,Space Grey,XL,155118.53,2024-02-23,2024-02-25,0
741,CR-IN-GAM-00741,Croma Consoles DBUSZ,Croma,Gaming,Consoles,Silver,XS,2879.86,2024-01-24,,1
1099,CR-IN-GAM-01099,Croma Consoles UYYJE,Croma,Gaming,Consoles,Silver,XS,49684.22,2025-06-12,2025-09-02,0
60,CR-IN-WEA-00060,Croma Smartwatch Q4RDV,Croma,Wearables,Smartwatch,Purple,XL,23556.91,2023-07-01,,1
9476,CR-IN-AUD-09476,Croma Headphones EP32M,Croma,Audio,Headphones,Green,L,1457.38,2025-06-23,,1
9902,CR-IN-APP-09902,Croma Washers UGWZG,Croma,Appliances,Washers,Gold,S,99425.81,2023-09-30,,1
6003,CR-IN-GAM-06003,Croma Consoles GBQSE,Croma,Gaming,Consoles,Purple,OneSize,69750.22,2025-02-16,,1
10325,CR-IN-GAM-10325,Croma Consoles XESB2,Croma,Gaming,Consoles,Gold,XS,11912.08,2023-01-02,,1
2157,CR-IN-TEL-02157,Croma LED HVIQS,Croma,Televisions,LED,Silver,L,156765.47,2023-09-10,2024-06-08,0
821,CR-IN-WEA-00821,Croma Smartwatch 7VX4F,Croma,Wearables,Smartwatch,Purple,OneSize,54447.92,2022-06-17,,1
11546,CR-IN-APP-11546,Croma Washers BYRSY,Croma,Appliances,Washers,Purple,M,127333.72,2022-08-11,2024-10-02,0
4375,CR-IN-APP-04375,Croma Washers 4SU4D,Croma,Appliances,Washers,Red,M,117549.48,2025-02-16,,1
11720,CR-IN-LAP-11720,Croma Ultrabooks D2P1S,Croma,Laptops,Ultrabooks,White,XL,144553.04,2022-10-06,,1
3141,CR-IN-AUD-03141,Croma Headphones 3BUYN,Croma,Audio,Headphones,Blue,XL,30885.24,2025-02-09,,1
1855,CR-IN-ACC-01855,Croma Cables MVHMG,Croma,Accessories,Cables,Purple,L,4931.55,2022-03-04,,1
11094,CR-IN-CAM-11094,Croma DSLR QEEAG,Croma,Cameras,DSLR,White,S,139178.78,2022-07-31,2024-01-18,0
3577,CR-IN-ACC-03577,Croma Cables P0F88,Croma,Accessories,Cables,White,XS,3254.65,2022-12-13,,1
2238,CR-IN-SMA-02238,Croma Smart Lights 75DR2,Croma,Smart Home,Smart Lights,Space Grey,M,6302.61,2022-05-21,,1
708,CR-IN-ACC-00708,Croma Cables A8WAS,Croma,Accessories,Cables,Purple,OneSize,2999.17,2025-02-26,,1
4778,CR-IN-APP-04778,Croma Washers 555IZ,Croma,Appliances,Washers,Red,XS,109439.64,2025-03-20,,1
7849,CR-IN-CAM-07849,Croma DSLR 6M8CN,Croma,Cameras,DSLR,Gold,XL,144888.75,2025-04-17,,1
4318,CR-IN-APP-04318,Croma Washers DFB82,Croma,Appliances,Washers,Red,XS,95958.73,2023-04-08,,1
6296,CR-IN-LAP-06296,Croma Ultrabooks 1D4G1,Croma,Laptops,Ultrabooks,Gold,XS,177363.16,2024-03-17,,1
279,CR-IN-AUD-00279,Croma Headphones ZO5M8,Croma,Audio,Headphones,White,XL,22503.52,2023-02-22,,1
3824,CR-IN-AUD-03824,Croma Headphones 8Z2LX,Croma,Audio,Headphones,Black,S,19021.46,2022-08-31,,1
8468,CR-IN-WEA-08468,Croma Smartwatch A4UUX,Croma,Wearables,Smartwatch,Green,L,45654.87,2023-09-26,,1
9704,CR-IN-APP-09704,Croma Washers RTCIA,Croma,Appliances,Washers,Silver,L,65513.3,2022-10-19,2023-04-09,0
10857,CR-IN-LAP-10857,Croma Ultrabooks U30E8,Croma,Laptops,Ultrabooks,Silver,OneSize,25546.86,2023-07-24,,1
3313,CR-IN-GAM-03313,Croma Consoles WJG7O,Croma,Gaming,Consoles,Red,XS,25030.68,2022-11-02,,1
2394,CR-IN-CAM-02394,Croma DSLR MFPHD,Croma,Cameras,DSLR,Blue,XL,138544.21,2024-03-05,,1
10106,CR-IN-MOB-10106,Croma Smartphones ZCG0L,Croma,Mobiles,Smartphones,Space Grey,XL,15706.6,2024-06-09,,1
11751,CR-IN-MOB-11751,Croma Smartphones RMV0K,Croma,Mobiles,Smartphones,Silver,XL,93025.85,2023-12-10,,1
2114,CR-IN-LAP-02114,Croma Ultrabooks MNT89,Croma,Laptops,Ultrabooks,White,XS,87487.91,2025-05-12,,1
2193,CR-IN-WEA-02193,Croma Smartwatch XPFN9,Croma,Wearables,Smartwatch,Gold,XS,9649.19,2023-12-29,,1
168,CR-IN-WEA-00168,Croma Smartwatch JMSUO,Croma,Wearables,Smartwatch,Red,XL,32167.17,2024-08-12,,1
21,CR-IN-GAM-00021,Croma Consoles NL2DV,Croma,Gaming,Consoles,Green,XS,45949.95,2025-01-26,,1
5607,CR-IN-CAM-05607,Croma DSLR N0XNU,Croma,Cameras,DSLR,Purple,M,214666.53,2024-02-03,2024-04-01,0
3287,CR-IN-ACC-03287,Croma Cables WSJ4Q,Croma,Accessories,Cables,White,XS,3175.52,2022-06-02,,1
10893,CR-IN-ACC-10893,Croma Cables 1OR0U,Croma,Accessories,Cables,Black,XS,290.76,2023-03-13,2024-11-27,0
4130,CR-IN-GAM-04130,Croma Consoles LGS53,Croma,Gaming,Consoles,Purple,S,40868.79,2022-07-15,2024-06-14,0
6658,CR-IN-MOB-06658,Croma Smartphones 0V60K,Croma,Mobiles,Smartphones,Gold,XL,75997.84,2024-02-13,2024-12-14,0
6442,CR-IN-APP-06442,Croma Washers 3NU6Q,Croma,Appliances,Washers,Gold,OneSize,128473.28,2022-07-02,,1
303,CR-IN-SMA-00303,Croma Smart Lights 4P7H5,Croma,Smart Home,Smart Lights,Red,S,7365.68,2022-11-08,,1
4378,CR-IN-LAP-04378,Croma Ultrabooks RCPDD,Croma,Laptops,Ultrabooks,Red,M,75007.56,2024-07-06,,1
9400,CR-IN-MOB-09400,Croma Smartphones HAHUU,Croma,Mobiles,Smartphones,Silver,L,33460.42,2024-02-17,,1
4791,CR-IN-AUD-04791,Croma Headphones GQQKS,Croma,Audio,Headphones,Blue,XS,16863.6,2023-02-19,,1
6469,CR-IN-CAM-06469,Croma DSLR 1DO40,Croma,Cameras,DSLR,Green,L,93299.71,2024-07-23,,1
179,CR-IN-MOB-00179,Croma Smartphones JZUU6,Croma,Mobiles,Smartphones,Green,M,111834.07,2024-05-15,,1
4571,CR-IN-WEA-04571,Croma Smartwatch J8419,Croma,Wearables,Smartwatch,White,S,13012.87,2022-09-06,,1
4358,CR-IN-SMA-04358,Croma Smart Lights KFLVF,Croma,Smart Home,Smart Lights,Blue,XL,19623.45,2024-01-23,,1
4445,CR-IN-APP-04445,Croma Washers CMVQO,Croma,Appliances,Washers,Black,S,14418.1,2024-02-04,,1
10634,CR-IN-AUD-10634,Croma Headphones K777N,Croma,Audio,Headphones,Black,XL,7219.95,2023-04-01,,1
4105,CR-IN-CAM-04105,Croma DSLR ASGCX,Croma,Cameras,DSLR,Purple,M,219670.87,2024-10-08,,1
8281,CR-IN-LAP-08281,Croma Ultrabooks LYF9O,Croma,Laptops,Ultrabooks,Purple,XS,159104.32,2023-02-10,,1
6976,CR-IN-LAP-06976,Croma Ultrabooks KD309,Croma,Laptops,Ultrabooks,White,OneSize,63608.91,2025-05-13,,1
386,CR-IN-CAM-00386,Croma DSLR 856EH,Croma,Cameras,DSLR,Purple,M,148416.17,2023-06-14,,1
8007,CR-IN-GAM-08007,Croma Consoles GCHXS,Croma,Gaming,Consoles,Red,OneSize,77860.95,2024-12-24,,1
9611,CR-IN-WEA-09611,Croma Smartwatch OKT23,Croma,Wearables,Smartwatch,Silver,L,15456.75,2023-09-03,,1
7986,CR-IN-SMA-07986,Croma Smart Lights AV6DT,Croma,Smart Home,Smart Lights,Red,M,10724.6,2025-05-22,,1
5396,CR-IN-TEL-05396,Croma LED 2LJ41,Croma,Televisions,LED,Green,S,233492.17,2023-01-05,2024-11-06,0
189,CR-IN-CAM-00189,Croma DSLR C1AMC,Croma,Cameras,DSLR,Blue,L,151633.05,2023-08-24,,1
3142,CR-IN-MOB-03142,Croma Smartphones Z0C9Y,Croma,Mobiles,Smartphones,Silver,S,34662.52,2022-01-10,2024-09-07,0
10340,CR-IN-MOB-10340,Croma Smartphones 6U5IT,Croma,Mobiles,Smartphones,Black,S,108500.05,2022-01-18,2022-04-30,0
2535,CR-IN-SMA-02535,Croma Smart Lights 7G2D1,Croma,Smart Home,Smart Lights,Purple,S,23869.34,2025-01-28,,1
11144,CR-IN-AUD-11144,Croma Headphones 9ZFPY,Croma,Audio,Headphones,White,M,9629.52,2023-07-15,,1
9057,CR-IN-TEL-09057,Croma LED 2DKVY,Croma,Televisions,LED,Purple,XL,235174.39,2023-01-10,,1
1565,CR-IN-CAM-01565,Croma DSLR 125OU,Croma,Cameras,DSLR,Silver,XS,40310.16,2024-12-17,,1
997,CR-IN-GAM-00997,Croma Consoles GW3HI,Croma,Gaming,Consoles,Silver,XS,81027.92,2023-02-26,,1
1865,CR-IN-MOB-01865,Croma Smartphones GA1ZL,Croma,Mobiles,Smartphones,Red,S,81143.85,2024-01-14,,1
8569,CR-IN-SMA-08569,Croma Smart Lights 5PN4B,Croma,Smart Home,Smart Lights,Black,M,16908.47,2023-04-04,,1
6667,CR-IN-CAM-06667,Croma DSLR 8UC98,Croma,Cameras,DSLR,Red,L,250363.09,2023-11-23,,1
6311,CR-IN-WEA-06311,Croma Smartwatch 6SWVP,Croma,Wearables,Smartwatch,Space Grey,XS,52858.15,2022-06-16,,1
5376,CR-IN-CAM-05376,Croma DSLR OEQ82,Croma,Cameras,DSLR,Space Grey,S,118164.22,2025-04-22,2025-09-04,0
9083,CR-IN-MOB-09083,Croma Smartphones JS9SR,Croma,Mobiles,Smartphones,Silver,L,23705.06,2022-09-10,,1
3716,CR-IN-AUD-03716,Croma Headphones RMFJL,Croma,Audio,Headphones,Blue,OneSize,24705.93,2023-10-11,2025-04-07,0
5254,CR-IN-GAM-05254,Croma Consoles JLTW5,Croma,Gaming,Consoles,Purple,M,58969.39,2025-08-09,,1
7910,CR-IN-WEA-07910,Croma Smartwatch CTM2V,Croma,Wearables,Smartwatch,Black,XS,53969.79,2024-03-01,2024-08-26,0
3354,CR-IN-CAM-03354,Croma DSLR 73DDT,Croma,Cameras,DSLR,Red,XL,100552.11,2025-02-09,,1
5075,CR-IN-AUD-05075,Croma Headphones I9315,Croma,Audio,Headphones,Black,M,26948.16,2022-02-27,,1
540,CR-IN-LAP-00540,Croma Ultrabooks UHWYO,Croma,Laptops,Ultrabooks,Silver,XL,143665.62,2023-10-15,2024-10-13,0
7473,CR-IN-ACC-07473,Croma Cables JAVOZ,Croma,Accessories,Cables,Blue,OneSize,8261.63,2025-05-16,2025-09-01,0
11176,CR-IN-TEL-11176,Croma LED 38XWI,Croma,Televisions,LED,Space Grey,XS,121538.8,2025-05-20,2025-09-10,0
3632,CR-IN-AUD-03632,Croma Headphones HMF0G,Croma,Audio,Headphones,Purple,M,6087.31,2022-08-15,,1
2134,CR-IN-GAM-02134,Croma Consoles P11BH,Croma,Gaming,Consoles,Black,L,22875.9,2024-12-03,,1
2490,CR-IN-TEL-02490,Croma LED 9QXYK,Croma,Televisions,LED,Green,XL,149257.26,2023-07-22,,1
4527,CR-IN-TEL-04527,Croma LED HUNDF,Croma,Televisions,LED,Green,OneSize,162101.78,2022-01-18,2024-06-25,0
1059,CR-IN-CAM-01059,Croma DSLR 24TZ0,Croma,Cameras,DSLR,White,XL,62891.07,2023-10-24,,1
7685,CR-IN-MOB-07685,Croma Smartphones 3XCA6,Croma,Mobiles,Smartphones,White,L,25240.75,2022-10-09,,1
9529,CR-IN-GAM-09529,Croma Consoles IIPXQ,Croma,Gaming,Consoles,Red,M,5542.8,2022-12-28,,1
5672,CR-IN-LAP-05672,Croma Ultrabooks 81OL5,Croma,Laptops,Ultrabooks,White,L,176445.11,2025-03-10,,1
1805,CR-IN-ACC-01805,Croma Cables 7AMWC,Croma,Accessories,Cables,Black,XL,4074.55,2022-05-29,2024-02-14,0
9677,CR-IN-TEL-09677,Croma LED 5E92C,Croma,Televisions,LED,Black,M,34611.5,2023-03-24,,1
7243,CR-IN-CAM-07243,Croma DSLR AMRWQ,Croma,Cameras,DSLR,Black,M,217484.02,2025-05-04,2025-07-08,0
7164,CR-IN-MOB-07164,Croma Smartphones 1AM20,Croma,Mobiles,Smartphones,White,L,89849.46,2022-06-21,2023-05-05,0
3912,CR-IN-TEL-03912,Croma LED NR4C4,Croma,Televisions,LED,Black,OneSize,220758.96,2022-10-11,,1
6707,CR-IN-TEL-06707,Croma LED DAK11,Croma,Televisions,LED,Purple,XL,44380.53,2024-07-24,2025-09-13,0
7327,CR-IN-APP-07327,Croma Washers 28UP8,Croma,Appliances,Washers,Black,M,48635.25,2023-06-02,,1
2270,CR-IN-SMA-02270,Croma Smart Lights S3X62,Croma,Smart Home,Smart Lights,Black,S,29620.32,2022-12-19,,1
1601,CR-IN-APP-01601,Croma Washers 88WZ8,Croma,Appliances,Washers,Green,XL,77146.7,2024-11-01,,1
2052,CR-IN-TEL-02052,Croma LED FUO6L,Croma,Televisions,LED,White,M,23187.24,2025-05-09,,1
9252,CR-IN-WEA-09252,Croma Smartwatch U2LEA,Croma,Wearables,Smartwatch,Black,M,40487.89,2023-02-14,,1
1206,CR-IN-AUD-01206,Croma Headphones C464N,Croma,Audio,Headphones,Green,M,22340.16,2022-06-08,2024-09-09,0
10397,CR-IN-APP-10397,Croma Washers KSNU8,Croma,Appliances,Washers,Gold,S,137828.32,2022-05-08,,1
399,CR-IN-CAM-00399,Croma DSLR M75IQ,Croma,Cameras,DSLR,Space Grey,M,235065.31,2022-05-08,,1
10639,CR-IN-TEL-10639,Croma LED 6ITOG,Croma,Televisions,LED,Blue,OneSize,141399.44,2022-05-26,,1
11814,CR-IN-LAP-11814,Croma Ultrabooks RI9X7,Croma,Laptops,Ultrabooks,Black,XS,85182.51,2023-02-19,,1
4836,CR-IN-AUD-04836,Croma Headphones D94ZP,Croma,Audio,Headphones,Silver,S,17468.45,2022-04-24,,1
7915,CR-IN-APP-07915,Croma Washers HPZ91,Croma,Appliances,Washers,Silver,XS,27765.68,2024-06-06,2025-01-06,0
9341,CR-IN-CAM-09341,Croma DSLR 148NU,Croma,Cameras,DSLR,Red,L,184189.81,2025-07-24,,1
2373,CR-IN-TEL-02373,Croma LED B1M1N,Croma,Televisions,LED,Gold,L,191493.81,2022-12-16,2024-10-20,0
4801,CR-IN-WEA-04801,Croma Smartwatch SL4E8,Croma,Wearables,Smartwatch,Blue,L,17072.04,2022-09-13,,1
9365,CR-IN-GAM-09365,Croma Consoles RXVAN,Croma,Gaming,Consoles,Space Grey,M,77608.02,2025-07-16,,1
6693,CR-IN-CAM-06693,Croma DSLR OCI6A,Croma,Cameras,DSLR,Red,XS,79048.83,2024-07-09,2025-07-18,0
966,CR-IN-GAM-00966,Croma Consoles F0NYS,Croma,Gaming,Consoles,Purple,XS,11135.41,2024-12-29,,1
6111,CR-IN-TEL-06111,Croma LED 3D55A,Croma,Televisions,LED,White,XS,51483.61,2025-05-07,,1
9607,CR-IN-WEA-09607,Croma Smartwatch Z71KN,Croma,Wearables,Smartwatch,Gold,S,37850.82,2024-09-06,,1
11715,CR-IN-TEL-11715,Croma LED 1QLEU,Croma,Televisions,LED,Green,L,227497.41,2024-08-21,2024-08-29,0
10527,CR-IN-MOB-10527,Croma Smartphones LGHII,Croma,Mobiles,Smartphones,Silver,M,56171.62,2024-10-20,,1
10992,CR-IN-AUD-10992,Croma Headphones VQNC2,Croma,Audio,Headphones,Black,XL,36052.72,2022-04-01,,1
1879,CR-IN-WEA-01879,Croma Smartwatch 8905U,Croma,Wearables,Smartwatch,Red,XS,7012.35,2025-02-09,,1
7632,CR-IN-AUD-07632,Croma Headphones REMNR,Croma,Audio,Headphones,Green,M,45127.06,2022-12-20,2024-03-26,0
8136,CR-IN-GAM-08136,Croma Consoles I6NE4,Croma,Gaming,Consoles,White,S,66059.41,2023-08-15,,1
9465,CR-IN-LAP-09465,Croma Ultrabooks BXSCG,Croma,Laptops,Ultrabooks,White,L,134287.14,2023-05-25,,1
4339,CR-IN-ACC-04339,Croma Cables D2VY6,Croma,Accessories,Cables,Purple,XL,3444.0,2023-02-05,,1
4546,CR-IN-LAP-04546,Croma Ultrabooks IZIQF,Croma,Laptops,Ultrabooks,Red,M,165683.85,2022-01-15,,1
4459,CR-IN-CAM-04459,Croma DSLR MU1P4,Croma,Cameras,DSLR,Black,M,29007.57,2025-03-13,,1
3359,CR-IN-ACC-03359,Croma Cables WC6WT,Croma,Accessories,Cables,Purple,L,2089.95,2024-02-12,,1
4717,CR-IN-CAM-04717,Croma DSLR OZBEB,Croma,Cameras,DSLR,Black,XL,132865.43,2022-07-09,,1
1394,CR-IN-CAM-01394,Croma DSLR NN68G,Croma,Cameras,DSLR,Gold,XS,7946.09,2024-12-29,,1
4316,CR-IN-AUD-04316,Croma Headphones HJCHY,Croma,Audio,Headphones,Gold,M,42967.06,2022-02-04,,1
3443,CR-IN-TEL-03443,Croma LED 83MB1,Croma,Televisions,LED,Red,M,100797.49,2024-11-21,,1
4463,CR-IN-APP-04463,Croma Washers FPAEY,Croma,Appliances,Washers,Silver,OneSize,6133.28,2024-03-21,2025-04-16,0
