sales_id,sales_date,sales_time,store_id,product_id,customer_id,employee_id,quantity,unit_price,gross_amount,discount_amount,net_amount,payment_type,transaction_id
7216,2025-09-04,21:08:45,3189,18029,12465,5307,1,188415.88,188415.88,0.0,188415.88,CASH,IN-TXN-20250904-WELYO1RN
3835,2025-09-09,10:09:19,19034,2821,11537,15079,1,74680.69,74680.69,7468.07,67212.62,UPI,IN-TXN-20250909-1E9SOQAX
11431,2025-09-10,13:55:37,1543,260,12119,3158,1,54376.54,54376.54,2718.83,51657.71,CARD,IN-TXN-20250910-H9G7EXDT
3375,2025-09-03,18:15:09,18275,11655,2975,9295,1,98398.39,98398.39,0.0,98398.39,BNPL,IN-TXN-20250903-YRSPIJBN
8976,2025-09-10,13:05:22,7983,6139,7546,9199,1,68773.88,68773.88,6877.39,61896.49,CASH,IN-TXN-20250910-2IROVIMT
1076,2025-09-07,20:43:42,18083,13788,17800,5702,1,14381.73,14381.73,0.0,14381.73,UPI,IN-TXN-20250907-SAL8VVRA
317,2025-09-01,15:58:40,1737,16098,13812,6409,1,1688.7,1688.7,168.87,1519.83,CASH,IN-TXN-20250901-L5ZB4BQX
556,2025-09-05,10:19:42,11131,19452,8852,8084,1,72640.72,72640.72,7264.07,65376.65,CARD,IN-TXN-20250905-X8ZKXZOO
3288,2025-09-06,17:24:39,2885,7379,1979,6270,4,19288.1,77152.4,3857.62,73294.78,CASH,IN-TXN-20250906-M6GDDVP2
3320,2025-09-06,19:51:32,2729,7564,20223,6325,1,100695.56,100695.56,0.0,100695.56,CARD,IN-TXN-20250906-U7RDNJX1
1318,2025-09-07,10:29:27,9033,7520,12439,4757,1,2408.62,2408.62,0.0,2408.62,UPI,IN-TXN-20250907-C9NXNU8S
2034,2025-09-01,13:50:50,9832,4198,4523,17319,1,29135.36,29135.36,2913.54,26221.82,BNPL,IN-TXN-20250901-RRBRE76P
181,2025-09-09,16:14:36,14052,10407,16301,10853,1,210475.57,210475.57,10523.78,199951.79,WALLET,IN-TXN-20250909-0S4GMKZJ
363,2025-09-13,14:33:53,7539,7682,19698,9408,1,7945.93,7945.93,0.0,7945.93,BNPL,IN-TXN-20250913-IGX4HP1L
10780,2025-09-01,20:22:32,8736,6359,703,18506,1,26139.5,26139.5,0.0,26139.5,WALLET,IN-TXN-20250901-MS5UVHEF
394,2025-09-05,15:54:23,20900,5686,6881,17270,1,9337.24,9337.24,933.72,8403.52,BNPL,IN-TXN-20250905-9CO5EZHZ
505,2025-09-08,11:21:07,19389,20523,2232,15855,2,35177.63,70355.26,7035.53,63319.73,WALLET,IN-TXN-20250908-J7C5T8Y3
775,2025-09-09,18:03:58,15072,18399,20162,1783,2,4127.07,8254.14,412.71,7841.43,UPI,IN-TXN-20250909-KASBYQ26
10250,2025-09-13,10:01:15,11479,5581,513,8679,1,140814.81,140814.81,0.0,140814.81,BNPL,IN-TXN-20250913-11W1100S
6239,2025-09-10,19:58:27,9511,6175,5486,6669,1,29375.07,29375.07,0.0,29375.07,WALLET,IN-TXN-20250910-A0DLUGRR
11168,2025-09-12,13:07:25,3771,4657,20698,10491,1,27230.63,27230.63,0.0,27230.63,CARD,IN-TXN-20250912-4T5K3T1M
1125,2025-09-05,12:47:17,4423,2474,16375,3548,1,132061.04,132061.04,6603.05,125457.99,WALLET,IN-TXN-20250905-NO0AGBUL
2797,2025-09-13,10:14:12,8606,19200,12730,19259,1,13206.57,13206.57,0.0,13206.57,CARD,IN-TXN-20250913-7T3UJ5BS
8427,2025-09-13,14:46:45,11144,17990,11402,379,2,105900.42,211800.84,0.0,211800.84,CASH,IN-TXN-20250913-DUQ2BIA2
5999,2025-09-08,16:03:14,11969,12831,20646,20253,1,144537.71,144537.71,0.0,144537.71,UPI,IN-TXN-20250908-PHIMVK4Q
5845,2025-09-08,17:03:53,3895,1469,18627,16681,2,66739.44,133478.88,0.0,133478.88,UPI,IN-TXN-20250908-UDQWG1U7
